"from","to","combined_score","target"
"9606.ENSP00000267803","9606.ENSP00000317997",999,"9606.ENSP00000267803"
"9606.ENSP00000317997","9606.ENSP00000319705",999,"9606.ENSP00000319705"
"9606.ENSP00000263317","9606.ENSP00000317997",992,"9606.ENSP00000263317"
"9606.ENSP00000317997","9606.ENSP00000362057",992,"9606.ENSP00000362057"
"9606.ENSP00000159060","9606.ENSP00000317997",990,"9606.ENSP00000159060"
"9606.ENSP00000317997","9606.ENSP00000367851",986,"9606.ENSP00000367851"
"9606.ENSP00000289473","9606.ENSP00000317997",985,"9606.ENSP00000289473"
"9606.ENSP00000317997","9606.ENSP00000373518",984,"9606.ENSP00000373518"
"9606.ENSP00000261623","9606.ENSP00000317997",980,"9606.ENSP00000261623"
"9606.ENSP00000317997","9606.ENSP00000356505",979,"9606.ENSP00000356505"
"9606.ENSP00000317997","9606.ENSP00000380334",968,"9606.ENSP00000380334"
"9606.ENSP00000317997","9606.ENSP00000373691",962,"9606.ENSP00000373691"
"9606.ENSP00000317997","9606.ENSP00000380450",890,"9606.ENSP00000380450"
"9606.ENSP00000317997","9606.ENSP00000342848",885,"9606.ENSP00000342848"
"9606.ENSP00000249071","9606.ENSP00000317997",784,"9606.ENSP00000249071"
"9606.ENSP00000315006","9606.ENSP00000317997",766,"9606.ENSP00000315006"
"9606.ENSP00000317997","9606.ENSP00000379895",751,"9606.ENSP00000379895"
"9606.ENSP00000261867","9606.ENSP00000317997",732,"9606.ENSP00000261867"
"9606.ENSP00000317997","9606.ENSP00000451828",725,"9606.ENSP00000451828"
"9606.ENSP00000317997","9606.ENSP00000368727",711,"9606.ENSP00000368727"
"9606.ENSP00000317997","9606.ENSP00000348461",672,"9606.ENSP00000348461"
"9606.ENSP00000317997","9606.ENSP00000355627",621,"9606.ENSP00000355627"
"9606.ENSP00000317997","9606.ENSP00000374265",614,"9606.ENSP00000374265"
"9606.ENSP00000317997","9606.ENSP00000475924",612,"9606.ENSP00000475924"
"9606.ENSP00000297494","9606.ENSP00000317997",606,"9606.ENSP00000297494"
"9606.ENSP00000317997","9606.ENSP00000373477",606,"9606.ENSP00000373477"
"9606.ENSP00000317997","9606.ENSP00000392398",603,"9606.ENSP00000392398"
"9606.ENSP00000317997","9606.ENSP00000354581",602,"9606.ENSP00000354581"
"9606.ENSP00000317997","9606.ENSP00000354677",602,"9606.ENSP00000354677"
"9606.ENSP00000317997","9606.ENSP00000423822",602,"9606.ENSP00000423822"
"9606.ENSP00000317997","9606.ENSP00000363641",597,"9606.ENSP00000363641"
"9606.ENSP00000304283","9606.ENSP00000317997",575,"9606.ENSP00000304283"
"9606.ENSP00000317997","9606.ENSP00000339191",564,"9606.ENSP00000339191"
"9606.ENSP00000216117","9606.ENSP00000317997",561,"9606.ENSP00000216117"
"9606.ENSP00000222248","9606.ENSP00000317997",560,"9606.ENSP00000222248"
"9606.ENSP00000317997","9606.ENSP00000369689",559,"9606.ENSP00000369689"
"9606.ENSP00000231751","9606.ENSP00000317997",546,"9606.ENSP00000231751"
"9606.ENSP00000317997","9606.ENSP00000329869",545,"9606.ENSP00000329869"
"9606.ENSP00000262290","9606.ENSP00000317997",533,"9606.ENSP00000262290"
"9606.ENSP00000317997","9606.ENSP00000385675",531,"9606.ENSP00000385675"
"9606.ENSP00000229447","9606.ENSP00000317997",530,"9606.ENSP00000229447"
"9606.ENSP00000263341","9606.ENSP00000317997",527,"9606.ENSP00000263341"
"9606.ENSP00000317997","9606.ENSP00000494017",526,"9606.ENSP00000494017"
"9606.ENSP00000317997","9606.ENSP00000349439",510,"9606.ENSP00000349439"
"9606.ENSP00000317997","9606.ENSP00000380252",509,"9606.ENSP00000380252"
"9606.ENSP00000220616","9606.ENSP00000317997",503,"9606.ENSP00000220616"
"9606.ENSP00000317997","9606.ENSP00000360609",502,"9606.ENSP00000360609"
"9606.ENSP00000317997","9606.ENSP00000335153",497,"9606.ENSP00000335153"
"9606.ENSP00000317997","9606.ENSP00000398698",497,"9606.ENSP00000398698"
"9606.ENSP00000307786","9606.ENSP00000317997",493,"9606.ENSP00000307786"
"9606.ENSP00000272190","9606.ENSP00000317997",488,"9606.ENSP00000272190"
"9606.ENSP00000317997","9606.ENSP00000363089",480,"9606.ENSP00000363089"
"9606.ENSP00000317997","9606.ENSP00000371554",473,"9606.ENSP00000371554"
"9606.ENSP00000270142","9606.ENSP00000317997",460,"9606.ENSP00000270142"
"9606.ENSP00000317997","9606.ENSP00000441235",460,"9606.ENSP00000441235"
"9606.ENSP00000311032","9606.ENSP00000317997",459,"9606.ENSP00000311032"
"9606.ENSP00000317997","9606.ENSP00000360266",456,"9606.ENSP00000360266"
"9606.ENSP00000221130","9606.ENSP00000317997",452,"9606.ENSP00000221130"
"9606.ENSP00000317997","9606.ENSP00000446252",452,"9606.ENSP00000446252"
"9606.ENSP00000317997","9606.ENSP00000442920",451,"9606.ENSP00000442920"
"9606.ENSP00000295897","9606.ENSP00000317997",448,"9606.ENSP00000295897"
"9606.ENSP00000317997","9606.ENSP00000377245",443,"9606.ENSP00000377245"
"9606.ENSP00000317997","9606.ENSP00000417050",443,"9606.ENSP00000417050"
"9606.ENSP00000304643","9606.ENSP00000317997",438,"9606.ENSP00000304643"
"9606.ENSP00000317997","9606.ENSP00000419081",438,"9606.ENSP00000419081"
"9606.ENSP00000008938","9606.ENSP00000317997",437,"9606.ENSP00000008938"
"9606.ENSP00000212015","9606.ENSP00000317997",434,"9606.ENSP00000212015"
"9606.ENSP00000221930","9606.ENSP00000317997",433,"9606.ENSP00000221930"
"9606.ENSP00000317997","9606.ENSP00000380432",432,"9606.ENSP00000380432"
"9606.ENSP00000317997","9606.ENSP00000437955",430,"9606.ENSP00000437955"
"9606.ENSP00000317997","9606.ENSP00000477999",428,"9606.ENSP00000477999"
"9606.ENSP00000317997","9606.ENSP00000351908",426,"9606.ENSP00000351908"
"9606.ENSP00000317997","9606.ENSP00000362680",425,"9606.ENSP00000362680"
"9606.ENSP00000317997","9606.ENSP00000496355",422,"9606.ENSP00000496355"
"9606.ENSP00000190165","9606.ENSP00000317997",421,"9606.ENSP00000190165"
"9606.ENSP00000317997","9606.ENSP00000369314",421,"9606.ENSP00000369314"
"9606.ENSP00000317997","9606.ENSP00000368683",419,"9606.ENSP00000368683"
"9606.ENSP00000317997","9606.ENSP00000494750",419,"9606.ENSP00000494750"
"9606.ENSP00000225831","9606.ENSP00000317997",418,"9606.ENSP00000225831"
"9606.ENSP00000315299","9606.ENSP00000317997",418,"9606.ENSP00000315299"
"9606.ENSP00000317997","9606.ENSP00000398832",418,"9606.ENSP00000398832"
"9606.ENSP00000298375","9606.ENSP00000317997",414,"9606.ENSP00000298375"
"9606.ENSP00000317997","9606.ENSP00000361405",412,"9606.ENSP00000361405"
"9606.ENSP00000317997","9606.ENSP00000380070",412,"9606.ENSP00000380070"
"9606.ENSP00000317997","9606.ENSP00000450244",412,"9606.ENSP00000450244"
"9606.ENSP00000290866","9606.ENSP00000317997",405,"9606.ENSP00000290866"
"9606.ENSP00000317997","9606.ENSP00000438863",402,"9606.ENSP00000438863"
"9606.ENSP00000263025","9606.ENSP00000317997",401,"9606.ENSP00000263025"
"9606.ENSP00000294728","9606.ENSP00000317997",399,"9606.ENSP00000294728"
"9606.ENSP00000317997","9606.ENSP00000483549",398,"9606.ENSP00000483549"
"9606.ENSP00000317997","9606.ENSP00000498321",398,"9606.ENSP00000498321"
"9606.ENSP00000317997","9606.ENSP00000364265",397,"9606.ENSP00000364265"
"9606.ENSP00000229135","9606.ENSP00000317997",396,"9606.ENSP00000229135"
"9606.ENSP00000252486","9606.ENSP00000317997",394,"9606.ENSP00000252486"
"9606.ENSP00000291295","9606.ENSP00000317997",394,"9606.ENSP00000291295"
"9606.ENSP00000263967","9606.ENSP00000317997",393,"9606.ENSP00000263967"
"9606.ENSP00000317997","9606.ENSP00000327251",392,"9606.ENSP00000327251"
"9606.ENSP00000226574","9606.ENSP00000317997",390,"9606.ENSP00000226574"
"9606.ENSP00000317997","9606.ENSP00000319788",390,"9606.ENSP00000319788"
"9606.ENSP00000317997","9606.ENSP00000376154",390,"9606.ENSP00000376154"
"9606.ENSP00000287820","9606.ENSP00000317997",389,"9606.ENSP00000287820"
"9606.ENSP00000317997","9606.ENSP00000355930",388,"9606.ENSP00000355930"
"9606.ENSP00000264832","9606.ENSP00000317997",386,"9606.ENSP00000264832"
"9606.ENSP00000269305","9606.ENSP00000317997",386,"9606.ENSP00000269305"
"9606.ENSP00000317997","9606.ENSP00000346103",382,"9606.ENSP00000346103"
"9606.ENSP00000317997","9606.ENSP00000478886",382,"9606.ENSP00000478886"
"9606.ENSP00000306512","9606.ENSP00000317997",381,"9606.ENSP00000306512"
"9606.ENSP00000275493","9606.ENSP00000317997",380,"9606.ENSP00000275493"
"9606.ENSP00000252245","9606.ENSP00000317997",379,"9606.ENSP00000252245"
"9606.ENSP00000317997","9606.ENSP00000360683",379,"9606.ENSP00000360683"
"9606.ENSP00000317997","9606.ENSP00000394770",379,"9606.ENSP00000394770"
"9606.ENSP00000317997","9606.ENSP00000434435",379,"9606.ENSP00000434435"
"9606.ENSP00000308149","9606.ENSP00000317997",376,"9606.ENSP00000308149"
"9606.ENSP00000317997","9606.ENSP00000359340",375,"9606.ENSP00000359340"
"9606.ENSP00000317997","9606.ENSP00000381185",375,"9606.ENSP00000381185"
"9606.ENSP00000263334","9606.ENSP00000317997",372,"9606.ENSP00000263334"
"9606.ENSP00000280481","9606.ENSP00000317997",371,"9606.ENSP00000280481"
"9606.ENSP00000280357","9606.ENSP00000317997",368,"9606.ENSP00000280357"
"9606.ENSP00000280362","9606.ENSP00000317997",367,"9606.ENSP00000280362"
"9606.ENSP00000205402","9606.ENSP00000317997",366,"9606.ENSP00000205402"
"9606.ENSP00000264669","9606.ENSP00000317997",365,"9606.ENSP00000264669"
"9606.ENSP00000317997","9606.ENSP00000493010",365,"9606.ENSP00000493010"
"9606.ENSP00000317997","9606.ENSP00000361021",358,"9606.ENSP00000361021"
"9606.ENSP00000262746","9606.ENSP00000317997",357,"9606.ENSP00000262746"
"9606.ENSP00000317997","9606.ENSP00000371388",357,"9606.ENSP00000371388"
"9606.ENSP00000260010","9606.ENSP00000317997",355,"9606.ENSP00000260010"
"9606.ENSP00000317997","9606.ENSP00000348132",355,"9606.ENSP00000348132"
"9606.ENSP00000317997","9606.ENSP00000368646",354,"9606.ENSP00000368646"
"9606.ENSP00000225171","9606.ENSP00000317997",353,"9606.ENSP00000225171"
