"from","to","combined_score","target"
"9606.ENSP00000221930","9606.ENSP00000311905",997,"9606.ENSP00000221930"
"9606.ENSP00000311905","9606.ENSP00000355896",802,"9606.ENSP00000355896"
"9606.ENSP00000301873","9606.ENSP00000311905",728,"9606.ENSP00000301873"
"9606.ENSP00000238682","9606.ENSP00000311905",721,"9606.ENSP00000238682"
"9606.ENSP00000261978","9606.ENSP00000311905",699,"9606.ENSP00000261978"
"9606.ENSP00000309953","9606.ENSP00000311905",681,"9606.ENSP00000309953"
"9606.ENSP00000311905","9606.ENSP00000325527",665,"9606.ENSP00000325527"
"9606.ENSP00000311905","9606.ENSP00000386043",663,"9606.ENSP00000386043"
"9606.ENSP00000311905","9606.ENSP00000378957",652,"9606.ENSP00000378957"
"9606.ENSP00000262160","9606.ENSP00000311905",630,"9606.ENSP00000262160"
"9606.ENSP00000311905","9606.ENSP00000351807",605,"9606.ENSP00000351807"
"9606.ENSP00000311905","9606.ENSP00000345008",601,"9606.ENSP00000345008"
"9606.ENSP00000260950","9606.ENSP00000311905",561,"9606.ENSP00000260950"
"9606.ENSP00000283249","9606.ENSP00000311905",553,"9606.ENSP00000283249"
"9606.ENSP00000218867","9606.ENSP00000311905",482,"9606.ENSP00000218867"
"9606.ENSP00000261921","9606.ENSP00000311905",482,"9606.ENSP00000261921"
"9606.ENSP00000311905","9606.ENSP00000428966",474,"9606.ENSP00000428966"
"9606.ENSP00000311905","9606.ENSP00000422007",469,"9606.ENSP00000422007"
"9606.ENSP00000311905","9606.ENSP00000376637",461,"9606.ENSP00000376637"
"9606.ENSP00000300527","9606.ENSP00000311905",449,"9606.ENSP00000300527"
"9606.ENSP00000222339","9606.ENSP00000311905",443,"9606.ENSP00000222339"
"9606.ENSP00000311905","9606.ENSP00000346478",439,"9606.ENSP00000346478"
"9606.ENSP00000311905","9606.ENSP00000471851",435,"9606.ENSP00000471851"
"9606.ENSP00000282670","9606.ENSP00000311905",434,"9606.ENSP00000282670"
"9606.ENSP00000311905","9606.ENSP00000417185",429,"9606.ENSP00000417185"
"9606.ENSP00000311905","9606.ENSP00000416341",423,"9606.ENSP00000416341"
"9606.ENSP00000311905","9606.ENSP00000352216",422,"9606.ENSP00000352216"
"9606.ENSP00000270233","9606.ENSP00000311905",419,"9606.ENSP00000270233"
"9606.ENSP00000311905","9606.ENSP00000351905",417,"9606.ENSP00000351905"
"9606.ENSP00000311905","9606.ENSP00000391826",417,"9606.ENSP00000391826"
"9606.ENSP00000311905","9606.ENSP00000332247",409,"9606.ENSP00000332247"
"9606.ENSP00000311905","9606.ENSP00000354923",408,"9606.ENSP00000354923"
"9606.ENSP00000311905","9606.ENSP00000356737",404,"9606.ENSP00000356737"
"9606.ENSP00000311905","9606.ENSP00000436212",397,"9606.ENSP00000436212"
"9606.ENSP00000311905","9606.ENSP00000355180",396,"9606.ENSP00000355180"
"9606.ENSP00000311905","9606.ENSP00000364685",396,"9606.ENSP00000364685"
"9606.ENSP00000311905","9606.ENSP00000378517",391,"9606.ENSP00000378517"
"9606.ENSP00000311905","9606.ENSP00000327336",386,"9606.ENSP00000327336"
"9606.ENSP00000311905","9606.ENSP00000478887",384,"9606.ENSP00000478887"
"9606.ENSP00000311905","9606.ENSP00000346839",381,"9606.ENSP00000346839"
"9606.ENSP00000311905","9606.ENSP00000468002",376,"9606.ENSP00000468002"
"9606.ENSP00000311905","9606.ENSP00000356515",375,"9606.ENSP00000356515"
"9606.ENSP00000311905","9606.ENSP00000447297",373,"9606.ENSP00000447297"
"9606.ENSP00000311905","9606.ENSP00000407685",372,"9606.ENSP00000407685"
"9606.ENSP00000231004","9606.ENSP00000311905",371,"9606.ENSP00000231004"
"9606.ENSP00000052754","9606.ENSP00000311905",365,"9606.ENSP00000052754"
"9606.ENSP00000311905","9606.ENSP00000334186",365,"9606.ENSP00000334186"
"9606.ENSP00000311905","9606.ENSP00000346550",361,"9606.ENSP00000346550"
"9606.ENSP00000311905","9606.ENSP00000363827",360,"9606.ENSP00000363827"
"9606.ENSP00000311905","9606.ENSP00000360882",356,"9606.ENSP00000360882"
"9606.ENSP00000224784","9606.ENSP00000311905",352,"9606.ENSP00000224784"
"9606.ENSP00000255006","9606.ENSP00000311905",352,"9606.ENSP00000255006"
"9606.ENSP00000293725","9606.ENSP00000311905",348,"9606.ENSP00000293725"
"9606.ENSP00000264183","9606.ENSP00000311905",347,"9606.ENSP00000264183"
"9606.ENSP00000311905","9606.ENSP00000415416",347,"9606.ENSP00000415416"
"9606.ENSP00000311905","9606.ENSP00000347484",345,"9606.ENSP00000347484"
"9606.ENSP00000311905","9606.ENSP00000341243",342,"9606.ENSP00000341243"
"9606.ENSP00000311905","9606.ENSP00000352455",342,"9606.ENSP00000352455"
"9606.ENSP00000264065","9606.ENSP00000311905",340,"9606.ENSP00000264065"
"9606.ENSP00000288840","9606.ENSP00000311905",340,"9606.ENSP00000288840"
"9606.ENSP00000225964","9606.ENSP00000311905",337,"9606.ENSP00000225964"
"9606.ENSP00000311905","9606.ENSP00000331544",335,"9606.ENSP00000331544"
"9606.ENSP00000311905","9606.ENSP00000332973",333,"9606.ENSP00000332973"
"9606.ENSP00000262158","9606.ENSP00000311905",331,"9606.ENSP00000262158"
"9606.ENSP00000293879","9606.ENSP00000311905",331,"9606.ENSP00000293879"
"9606.ENSP00000295900","9606.ENSP00000311905",330,"9606.ENSP00000295900"
"9606.ENSP00000311905","9606.ENSP00000345206",326,"9606.ENSP00000345206"
"9606.ENSP00000311905","9606.ENSP00000347602",326,"9606.ENSP00000347602"
"9606.ENSP00000311905","9606.ENSP00000357858",325,"9606.ENSP00000357858"
"9606.ENSP00000311905","9606.ENSP00000489829",325,"9606.ENSP00000489829"
"9606.ENSP00000304408","9606.ENSP00000311905",323,"9606.ENSP00000304408"
"9606.ENSP00000311905","9606.ENSP00000384949",323,"9606.ENSP00000384949"
"9606.ENSP00000268070","9606.ENSP00000311905",322,"9606.ENSP00000268070"
"9606.ENSP00000265140","9606.ENSP00000311905",321,"9606.ENSP00000265140"
"9606.ENSP00000266718","9606.ENSP00000311905",320,"9606.ENSP00000266718"
"9606.ENSP00000262103","9606.ENSP00000311905",317,"9606.ENSP00000262103"
"9606.ENSP00000297354","9606.ENSP00000311905",317,"9606.ENSP00000297354"
"9606.ENSP00000252050","9606.ENSP00000311905",316,"9606.ENSP00000252050"
"9606.ENSP00000311905","9606.ENSP00000379616",314,"9606.ENSP00000379616"
"9606.ENSP00000311905","9606.ENSP00000361107",311,"9606.ENSP00000361107"
"9606.ENSP00000311905","9606.ENSP00000357336",308,"9606.ENSP00000357336"
"9606.ENSP00000297268","9606.ENSP00000311905",306,"9606.ENSP00000297268"
"9606.ENSP00000311905","9606.ENSP00000353654",305,"9606.ENSP00000353654"
"9606.ENSP00000166139","9606.ENSP00000311905",304,"9606.ENSP00000166139"
"9606.ENSP00000311905","9606.ENSP00000364691",301,"9606.ENSP00000364691"
"9606.ENSP00000311905","9606.ENSP00000417061",300,"9606.ENSP00000417061"
"9606.ENSP00000311905","9606.ENSP00000364979",299,"9606.ENSP00000364979"
"9606.ENSP00000311905","9606.ENSP00000416330",298,"9606.ENSP00000416330"
"9606.ENSP00000311905","9606.ENSP00000418754",298,"9606.ENSP00000418754"
"9606.ENSP00000245451","9606.ENSP00000311905",297,"9606.ENSP00000245451"
"9606.ENSP00000311905","9606.ENSP00000375873",297,"9606.ENSP00000375873"
"9606.ENSP00000311905","9606.ENSP00000360268",294,"9606.ENSP00000360268"
"9606.ENSP00000311905","9606.ENSP00000483552",294,"9606.ENSP00000483552"
"9606.ENSP00000252891","9606.ENSP00000311905",293,"9606.ENSP00000252891"
"9606.ENSP00000311905","9606.ENSP00000362776",293,"9606.ENSP00000362776"
"9606.ENSP00000311905","9606.ENSP00000369677",292,"9606.ENSP00000369677"
"9606.ENSP00000311905","9606.ENSP00000378792",292,"9606.ENSP00000378792"
"9606.ENSP00000311905","9606.ENSP00000456436",291,"9606.ENSP00000456436"
"9606.ENSP00000252999","9606.ENSP00000311905",289,"9606.ENSP00000252999"
"9606.ENSP00000298925","9606.ENSP00000311905",289,"9606.ENSP00000298925"
"9606.ENSP00000311905","9606.ENSP00000456500",289,"9606.ENSP00000456500"
"9606.ENSP00000264094","9606.ENSP00000311905",288,"9606.ENSP00000264094"
"9606.ENSP00000311905","9606.ENSP00000353058",288,"9606.ENSP00000353058"
"9606.ENSP00000311905","9606.ENSP00000373472",288,"9606.ENSP00000373472"
"9606.ENSP00000311905","9606.ENSP00000364000",283,"9606.ENSP00000364000"
"9606.ENSP00000295550","9606.ENSP00000311905",282,"9606.ENSP00000295550"
"9606.ENSP00000250340","9606.ENSP00000311905",280,"9606.ENSP00000250340"
"9606.ENSP00000311905","9606.ENSP00000342818",279,"9606.ENSP00000342818"
"9606.ENSP00000311905","9606.ENSP00000358035",279,"9606.ENSP00000358035"
"9606.ENSP00000311905","9606.ENSP00000368678",279,"9606.ENSP00000368678"
"9606.ENSP00000263265","9606.ENSP00000311905",278,"9606.ENSP00000263265"
"9606.ENSP00000311905","9606.ENSP00000340132",278,"9606.ENSP00000340132"
"9606.ENSP00000311905","9606.ENSP00000356954",278,"9606.ENSP00000356954"
"9606.ENSP00000309606","9606.ENSP00000311905",277,"9606.ENSP00000309606"
"9606.ENSP00000311905","9606.ENSP00000373574",276,"9606.ENSP00000373574"
"9606.ENSP00000205557","9606.ENSP00000311905",275,"9606.ENSP00000205557"
"9606.ENSP00000253144","9606.ENSP00000311905",275,"9606.ENSP00000253144"
"9606.ENSP00000285928","9606.ENSP00000311905",275,"9606.ENSP00000285928"
"9606.ENSP00000311905","9606.ENSP00000347244",275,"9606.ENSP00000347244"
"9606.ENSP00000311905","9606.ENSP00000347041",274,"9606.ENSP00000347041"
"9606.ENSP00000311905","9606.ENSP00000340361",273,"9606.ENSP00000340361"
"9606.ENSP00000215057","9606.ENSP00000311905",272,"9606.ENSP00000215057"
"9606.ENSP00000311905","9606.ENSP00000385028",272,"9606.ENSP00000385028"
"9606.ENSP00000311905","9606.ENSP00000334940",271,"9606.ENSP00000334940"
"9606.ENSP00000311905","9606.ENSP00000469863",271,"9606.ENSP00000469863"
"9606.ENSP00000212355","9606.ENSP00000311905",269,"9606.ENSP00000212355"
"9606.ENSP00000311905","9606.ENSP00000356791",268,"9606.ENSP00000356791"
"9606.ENSP00000264828","9606.ENSP00000311905",267,"9606.ENSP00000264828"
"9606.ENSP00000311905","9606.ENSP00000446224",267,"9606.ENSP00000446224"
"9606.ENSP00000311905","9606.ENSP00000405969",266,"9606.ENSP00000405969"
"9606.ENSP00000200181","9606.ENSP00000311905",264,"9606.ENSP00000200181"
"9606.ENSP00000265171","9606.ENSP00000311905",263,"9606.ENSP00000265171"
"9606.ENSP00000311905","9606.ENSP00000325146",263,"9606.ENSP00000325146"
"9606.ENSP00000311905","9606.ENSP00000349790",263,"9606.ENSP00000349790"
"9606.ENSP00000307156","9606.ENSP00000311905",262,"9606.ENSP00000307156"
"9606.ENSP00000305714","9606.ENSP00000311905",261,"9606.ENSP00000305714"
"9606.ENSP00000311905","9606.ENSP00000335320",261,"9606.ENSP00000335320"
"9606.ENSP00000261681","9606.ENSP00000311905",260,"9606.ENSP00000261681"
"9606.ENSP00000311905","9606.ENSP00000337907",260,"9606.ENSP00000337907"
"9606.ENSP00000311905","9606.ENSP00000381430",260,"9606.ENSP00000381430"
"9606.ENSP00000253055","9606.ENSP00000311905",259,"9606.ENSP00000253055"
"9606.ENSP00000307297","9606.ENSP00000311905",259,"9606.ENSP00000307297"
