"from","to","combined_score","target"
"9606.ENSP00000075120","9606.ENSP00000445929",868,"9606.ENSP00000075120"
"9606.ENSP00000327569","9606.ENSP00000445929",518,"9606.ENSP00000327569"
"9606.ENSP00000266088","9606.ENSP00000445929",504,"9606.ENSP00000266088"
"9606.ENSP00000266086","9606.ENSP00000445929",481,"9606.ENSP00000266086"
"9606.ENSP00000360966","9606.ENSP00000445929",452,"9606.ENSP00000360966"
"9606.ENSP00000444408","9606.ENSP00000445929",451,"9606.ENSP00000444408"
"9606.ENSP00000445929","9606.ENSP00000472308",447,"9606.ENSP00000472308"
"9606.ENSP00000275300","9606.ENSP00000445929",446,"9606.ENSP00000275300"
"9606.ENSP00000337335","9606.ENSP00000445929",446,"9606.ENSP00000337335"
"9606.ENSP00000275230","9606.ENSP00000445929",435,"9606.ENSP00000275230"
"9606.ENSP00000445929","9606.ENSP00000492001",434,"9606.ENSP00000492001"
"9606.ENSP00000352216","9606.ENSP00000445929",432,"9606.ENSP00000352216"
"9606.ENSP00000288135","9606.ENSP00000445929",413,"9606.ENSP00000288135"
"9606.ENSP00000280871","9606.ENSP00000445929",407,"9606.ENSP00000280871"
"9606.ENSP00000302851","9606.ENSP00000445929",406,"9606.ENSP00000302851"
"9606.ENSP00000368637","9606.ENSP00000445929",404,"9606.ENSP00000368637"
"9606.ENSP00000310208","9606.ENSP00000445929",398,"9606.ENSP00000310208"
"9606.ENSP00000445929","9606.ENSP00000487073",398,"9606.ENSP00000487073"
"9606.ENSP00000289932","9606.ENSP00000445929",395,"9606.ENSP00000289932"
"9606.ENSP00000380070","9606.ENSP00000445929",395,"9606.ENSP00000380070"
"9606.ENSP00000236495","9606.ENSP00000445929",385,"9606.ENSP00000236495"
"9606.ENSP00000445175","9606.ENSP00000445929",385,"9606.ENSP00000445175"
"9606.ENSP00000310241","9606.ENSP00000445929",381,"9606.ENSP00000310241"
"9606.ENSP00000327943","9606.ENSP00000445929",381,"9606.ENSP00000327943"
"9606.ENSP00000367102","9606.ENSP00000445929",381,"9606.ENSP00000367102"
"9606.ENSP00000437955","9606.ENSP00000445929",381,"9606.ENSP00000437955"
"9606.ENSP00000222286","9606.ENSP00000445929",374,"9606.ENSP00000222286"
"9606.ENSP00000290573","9606.ENSP00000445929",372,"9606.ENSP00000290573"
"9606.ENSP00000370543","9606.ENSP00000445929",372,"9606.ENSP00000370543"
"9606.ENSP00000445929","9606.ENSP00000463978",367,"9606.ENSP00000463978"
"9606.ENSP00000380432","9606.ENSP00000445929",363,"9606.ENSP00000380432"
"9606.ENSP00000361666","9606.ENSP00000445929",362,"9606.ENSP00000361666"
"9606.ENSP00000320171","9606.ENSP00000445929",354,"9606.ENSP00000320171"
