"from","to","combined_score","target"
"9606.ENSP00000261889","9606.ENSP00000368831",999,"9606.ENSP00000261889"
"9606.ENSP00000263559","9606.ENSP00000368831",999,"9606.ENSP00000263559"
"9606.ENSP00000299138","9606.ENSP00000368831",999,"9606.ENSP00000299138"
"9606.ENSP00000366998","9606.ENSP00000368831",999,"9606.ENSP00000366998"
"9606.ENSP00000368831","9606.ENSP00000480853",999,"9606.ENSP00000480853"
"9606.ENSP00000368831","9606.ENSP00000498872",999,"9606.ENSP00000498872"
"9606.ENSP00000310620","9606.ENSP00000368831",995,"9606.ENSP00000310620"
"9606.ENSP00000281187","9606.ENSP00000368831",994,"9606.ENSP00000281187"
"9606.ENSP00000368831","9606.ENSP00000400333",972,"9606.ENSP00000400333"
"9606.ENSP00000368831","9606.ENSP00000402935",961,"9606.ENSP00000402935"
"9606.ENSP00000368831","9606.ENSP00000413625",881,"9606.ENSP00000413625"
"9606.ENSP00000368831","9606.ENSP00000415786",865,"9606.ENSP00000415786"
"9606.ENSP00000349437","9606.ENSP00000368831",860,"9606.ENSP00000349437"
"9606.ENSP00000230085","9606.ENSP00000368831",854,"9606.ENSP00000230085"
"9606.ENSP00000368831","9606.ENSP00000417175",850,"9606.ENSP00000417175"
"9606.ENSP00000330393","9606.ENSP00000368831",830,"9606.ENSP00000330393"
"9606.ENSP00000345656","9606.ENSP00000368831",827,"9606.ENSP00000345656"
"9606.ENSP00000368831","9606.ENSP00000481314",821,"9606.ENSP00000481314"
"9606.ENSP00000233575","9606.ENSP00000368831",816,"9606.ENSP00000233575"
"9606.ENSP00000368831","9606.ENSP00000386443",790,"9606.ENSP00000386443"
"9606.ENSP00000251775","9606.ENSP00000368831",788,"9606.ENSP00000251775"
"9606.ENSP00000366452","9606.ENSP00000368831",784,"9606.ENSP00000366452"
"9606.ENSP00000325425","9606.ENSP00000368831",745,"9606.ENSP00000325425"
"9606.ENSP00000348602","9606.ENSP00000368831",741,"9606.ENSP00000348602"
"9606.ENSP00000296266","9606.ENSP00000368831",739,"9606.ENSP00000296266"
"9606.ENSP00000256637","9606.ENSP00000368831",719,"9606.ENSP00000256637"
"9606.ENSP00000273047","9606.ENSP00000368831",708,"9606.ENSP00000273047"
"9606.ENSP00000368831","9606.ENSP00000479606",698,"9606.ENSP00000479606"
"9606.ENSP00000261369","9606.ENSP00000368831",690,"9606.ENSP00000261369"
"9606.ENSP00000368831","9606.ENSP00000429824",679,"9606.ENSP00000429824"
"9606.ENSP00000368831","9606.ENSP00000376024",671,"9606.ENSP00000376024"
"9606.ENSP00000318016","9606.ENSP00000368831",659,"9606.ENSP00000318016"
"9606.ENSP00000350199","9606.ENSP00000368831",654,"9606.ENSP00000350199"
"9606.ENSP00000316779","9606.ENSP00000368831",649,"9606.ENSP00000316779"
"9606.ENSP00000368831","9606.ENSP00000376197",642,"9606.ENSP00000376197"
"9606.ENSP00000368831","9606.ENSP00000447537",640,"9606.ENSP00000447537"
"9606.ENSP00000368831","9606.ENSP00000388996",639,"9606.ENSP00000388996"
"9606.ENSP00000368831","9606.ENSP00000447053",639,"9606.ENSP00000447053"
"9606.ENSP00000262640","9606.ENSP00000368831",636,"9606.ENSP00000262640"
"9606.ENSP00000342576","9606.ENSP00000368831",636,"9606.ENSP00000342576"
"9606.ENSP00000263864","9606.ENSP00000368831",635,"9606.ENSP00000263864"
"9606.ENSP00000368831","9606.ENSP00000377148",629,"9606.ENSP00000377148"
"9606.ENSP00000240079","9606.ENSP00000368831",625,"9606.ENSP00000240079"
"9606.ENSP00000317955","9606.ENSP00000368831",619,"9606.ENSP00000317955"
"9606.ENSP00000368831","9606.ENSP00000389760",619,"9606.ENSP00000389760"
"9606.ENSP00000368831","9606.ENSP00000418593",606,"9606.ENSP00000418593"
"9606.ENSP00000248958","9606.ENSP00000368831",601,"9606.ENSP00000248958"
"9606.ENSP00000255194","9606.ENSP00000368831",600,"9606.ENSP00000255194"
"9606.ENSP00000283147","9606.ENSP00000368831",596,"9606.ENSP00000283147"
"9606.ENSP00000368831","9606.ENSP00000440005",595,"9606.ENSP00000440005"
"9606.ENSP00000253083","9606.ENSP00000368831",593,"9606.ENSP00000253083"
"9606.ENSP00000366923","9606.ENSP00000368831",591,"9606.ENSP00000366923"
