"from","to","combined_score","target"
"9606.ENSP00000245414","9606.ENSP00000354394",999,"9606.ENSP00000245414"
"9606.ENSP00000262367","9606.ENSP00000354394",999,"9606.ENSP00000262367"
"9606.ENSP00000264657","9606.ENSP00000354394",999,"9606.ENSP00000264657"
"9606.ENSP00000315768","9606.ENSP00000354394",999,"9606.ENSP00000315768"
"9606.ENSP00000343701","9606.ENSP00000354394",999,"9606.ENSP00000343701"
"9606.ENSP00000354394","9606.ENSP00000356713",999,"9606.ENSP00000356713"
"9606.ENSP00000354394","9606.ENSP00000371067",999,"9606.ENSP00000371067"
"9606.ENSP00000354394","9606.ENSP00000380073",999,"9606.ENSP00000380073"
"9606.ENSP00000354394","9606.ENSP00000438574",999,"9606.ENSP00000438574"
"9606.ENSP00000354394","9606.ENSP00000499900",999,"9606.ENSP00000499900"
"9606.ENSP00000263253","9606.ENSP00000354394",998,"9606.ENSP00000263253"
"9606.ENSP00000270139","9606.ENSP00000354394",998,"9606.ENSP00000270139"
"9606.ENSP00000343957","9606.ENSP00000354394",998,"9606.ENSP00000343957"
"9606.ENSP00000354394","9606.ENSP00000431885",997,"9606.ENSP00000431885"
"9606.ENSP00000351255","9606.ENSP00000354394",994,"9606.ENSP00000351255"
"9606.ENSP00000354394","9606.ENSP00000369213",994,"9606.ENSP00000369213"
"9606.ENSP00000354394","9606.ENSP00000432511",992,"9606.ENSP00000432511"
"9606.ENSP00000330341","9606.ENSP00000354394",988,"9606.ENSP00000330341"
"9606.ENSP00000354394","9606.ENSP00000496832",987,"9606.ENSP00000496832"
"9606.ENSP00000229135","9606.ENSP00000354394",986,"9606.ENSP00000229135"
"9606.ENSP00000354394","9606.ENSP00000360876",985,"9606.ENSP00000360876"
"9606.ENSP00000263379","9606.ENSP00000354394",984,"9606.ENSP00000263379"
"9606.ENSP00000354394","9606.ENSP00000426909",982,"9606.ENSP00000426909"
"9606.ENSP00000233057","9606.ENSP00000354394",980,"9606.ENSP00000233057"
"9606.ENSP00000354394","9606.ENSP00000409346",980,"9606.ENSP00000409346"
"9606.ENSP00000311857","9606.ENSP00000354394",978,"9606.ENSP00000311857"
"9606.ENSP00000275493","9606.ENSP00000354394",975,"9606.ENSP00000275493"
"9606.ENSP00000342278","9606.ENSP00000354394",972,"9606.ENSP00000342278"
"9606.ENSP00000354394","9606.ENSP00000385675",972,"9606.ENSP00000385675"
"9606.ENSP00000341208","9606.ENSP00000354394",969,"9606.ENSP00000341208"
"9606.ENSP00000354394","9606.ENSP00000359504",969,"9606.ENSP00000359504"
"9606.ENSP00000354394","9606.ENSP00000362649",969,"9606.ENSP00000362649"
"9606.ENSP00000354394","9606.ENSP00000380697",969,"9606.ENSP00000380697"
