"from","to","combined_score","target"
"9606.ENSP00000353007","9606.ENSP00000377836",757,"9606.ENSP00000377836"
"9606.ENSP00000353007","9606.ENSP00000396198",695,"9606.ENSP00000396198"
"9606.ENSP00000264498","9606.ENSP00000353007",685,"9606.ENSP00000264498"
"9606.ENSP00000353007","9606.ENSP00000359581",665,"9606.ENSP00000359581"
"9606.ENSP00000259241","9606.ENSP00000353007",652,"9606.ENSP00000259241"
"9606.ENSP00000344468","9606.ENSP00000353007",648,"9606.ENSP00000344468"
"9606.ENSP00000353007","9606.ENSP00000483552",632,"9606.ENSP00000483552"
"9606.ENSP00000261797","9606.ENSP00000353007",620,"9606.ENSP00000261797"
"9606.ENSP00000353007","9606.ENSP00000407193",617,"9606.ENSP00000407193"
"9606.ENSP00000283928","9606.ENSP00000353007",598,"9606.ENSP00000283928"
"9606.ENSP00000230990","9606.ENSP00000353007",596,"9606.ENSP00000230990"
"9606.ENSP00000261858","9606.ENSP00000353007",594,"9606.ENSP00000261858"
"9606.ENSP00000353007","9606.ENSP00000429473",593,"9606.ENSP00000429473"
"9606.ENSP00000002596","9606.ENSP00000353007",585,"9606.ENSP00000002596"
"9606.ENSP00000353007","9606.ENSP00000379032",577,"9606.ENSP00000379032"
"9606.ENSP00000353007","9606.ENSP00000367446",569,"9606.ENSP00000367446"
"9606.ENSP00000353007","9606.ENSP00000359579",553,"9606.ENSP00000359579"
"9606.ENSP00000284523","9606.ENSP00000353007",544,"9606.ENSP00000284523"
"9606.ENSP00000353007","9606.ENSP00000398632",542,"9606.ENSP00000398632"
"9606.ENSP00000261374","9606.ENSP00000353007",529,"9606.ENSP00000261374"
"9606.ENSP00000353007","9606.ENSP00000370519",525,"9606.ENSP00000370519"
"9606.ENSP00000264039","9606.ENSP00000353007",524,"9606.ENSP00000264039"
"9606.ENSP00000310657","9606.ENSP00000353007",520,"9606.ENSP00000310657"
"9606.ENSP00000353007","9606.ENSP00000365895",518,"9606.ENSP00000365895"
"9606.ENSP00000353007","9606.ENSP00000500220",515,"9606.ENSP00000500220"
"9606.ENSP00000335615","9606.ENSP00000353007",507,"9606.ENSP00000335615"
"9606.ENSP00000353007","9606.ENSP00000370522",502,"9606.ENSP00000370522"
"9606.ENSP00000263025","9606.ENSP00000353007",500,"9606.ENSP00000263025"
"9606.ENSP00000260126","9606.ENSP00000353007",499,"9606.ENSP00000260126"
"9606.ENSP00000307046","9606.ENSP00000353007",488,"9606.ENSP00000307046"
"9606.ENSP00000272902","9606.ENSP00000353007",479,"9606.ENSP00000272902"
"9606.ENSP00000351642","9606.ENSP00000353007",476,"9606.ENSP00000351642"
"9606.ENSP00000323720","9606.ENSP00000353007",472,"9606.ENSP00000323720"
"9606.ENSP00000353007","9606.ENSP00000393312",471,"9606.ENSP00000393312"
"9606.ENSP00000353007","9606.ENSP00000481920",470,"9606.ENSP00000481920"
"9606.ENSP00000282892","9606.ENSP00000353007",469,"9606.ENSP00000282892"
"9606.ENSP00000286317","9606.ENSP00000353007",466,"9606.ENSP00000286317"
"9606.ENSP00000353007","9606.ENSP00000363827",463,"9606.ENSP00000363827"
"9606.ENSP00000225728","9606.ENSP00000353007",453,"9606.ENSP00000225728"
"9606.ENSP00000353007","9606.ENSP00000370542",446,"9606.ENSP00000370542"
"9606.ENSP00000264363","9606.ENSP00000353007",441,"9606.ENSP00000264363"
"9606.ENSP00000255764","9606.ENSP00000353007",436,"9606.ENSP00000255764"
"9606.ENSP00000353007","9606.ENSP00000405327",435,"9606.ENSP00000405327"
"9606.ENSP00000330606","9606.ENSP00000353007",434,"9606.ENSP00000330606"
"9606.ENSP00000268695","9606.ENSP00000353007",433,"9606.ENSP00000268695"
"9606.ENSP00000264914","9606.ENSP00000353007",427,"9606.ENSP00000264914"
"9606.ENSP00000215832","9606.ENSP00000353007",426,"9606.ENSP00000215832"
"9606.ENSP00000328923","9606.ENSP00000353007",426,"9606.ENSP00000328923"
"9606.ENSP00000353007","9606.ENSP00000366267",423,"9606.ENSP00000366267"
"9606.ENSP00000220562","9606.ENSP00000353007",422,"9606.ENSP00000220562"
"9606.ENSP00000039007","9606.ENSP00000353007",418,"9606.ENSP00000039007"
"9606.ENSP00000353007","9606.ENSP00000354213",418,"9606.ENSP00000354213"
"9606.ENSP00000353007","9606.ENSP00000384262",418,"9606.ENSP00000384262"
"9606.ENSP00000302728","9606.ENSP00000353007",416,"9606.ENSP00000302728"
"9606.ENSP00000353007","9606.ENSP00000355995",416,"9606.ENSP00000355995"
"9606.ENSP00000353007","9606.ENSP00000416741",413,"9606.ENSP00000416741"
"9606.ENSP00000320219","9606.ENSP00000353007",410,"9606.ENSP00000320219"
"9606.ENSP00000353007","9606.ENSP00000360493",410,"9606.ENSP00000360493"
"9606.ENSP00000347719","9606.ENSP00000353007",409,"9606.ENSP00000347719"
"9606.ENSP00000353007","9606.ENSP00000363590",406,"9606.ENSP00000363590"
"9606.ENSP00000266070","9606.ENSP00000353007",404,"9606.ENSP00000266070"
"9606.ENSP00000333395","9606.ENSP00000353007",403,"9606.ENSP00000333395"
"9606.ENSP00000353007","9606.ENSP00000356433",399,"9606.ENSP00000356433"
"9606.ENSP00000258145","9606.ENSP00000353007",398,"9606.ENSP00000258145"
"9606.ENSP00000296499","9606.ENSP00000353007",398,"9606.ENSP00000296499"
"9606.ENSP00000353007","9606.ENSP00000360985",398,"9606.ENSP00000360985"
"9606.ENSP00000353007","9606.ENSP00000361818",396,"9606.ENSP00000361818"
"9606.ENSP00000353007","9606.ENSP00000427888",392,"9606.ENSP00000427888"
"9606.ENSP00000292377","9606.ENSP00000353007",385,"9606.ENSP00000292377"
"9606.ENSP00000284110","9606.ENSP00000353007",384,"9606.ENSP00000284110"
"9606.ENSP00000353007","9606.ENSP00000445595",384,"9606.ENSP00000445595"
"9606.ENSP00000353007","9606.ENSP00000498395",383,"9606.ENSP00000498395"
"9606.ENSP00000353007","9606.ENSP00000359131",381,"9606.ENSP00000359131"
"9606.ENSP00000353007","9606.ENSP00000381785",381,"9606.ENSP00000381785"
"9606.ENSP00000216124","9606.ENSP00000353007",380,"9606.ENSP00000216124"
"9606.ENSP00000260128","9606.ENSP00000353007",376,"9606.ENSP00000260128"
"9606.ENSP00000353007","9606.ENSP00000468592",372,"9606.ENSP00000468592"
"9606.ENSP00000252015","9606.ENSP00000353007",371,"9606.ENSP00000252015"
"9606.ENSP00000264265","9606.ENSP00000353007",371,"9606.ENSP00000264265"
"9606.ENSP00000353007","9606.ENSP00000378721",370,"9606.ENSP00000378721"
"9606.ENSP00000353007","9606.ENSP00000363583",369,"9606.ENSP00000363583"
"9606.ENSP00000353007","9606.ENSP00000359864",368,"9606.ENSP00000359864"
"9606.ENSP00000251871","9606.ENSP00000353007",362,"9606.ENSP00000251871"
"9606.ENSP00000314606","9606.ENSP00000353007",362,"9606.ENSP00000314606"
"9606.ENSP00000353007","9606.ENSP00000492220",362,"9606.ENSP00000492220"
"9606.ENSP00000217961","9606.ENSP00000353007",361,"9606.ENSP00000217961"
"9606.ENSP00000353007","9606.ENSP00000452948",361,"9606.ENSP00000452948"
"9606.ENSP00000353007","9606.ENSP00000366246",360,"9606.ENSP00000366246"
"9606.ENSP00000353007","9606.ENSP00000498702",360,"9606.ENSP00000498702"
"9606.ENSP00000261448","9606.ENSP00000353007",359,"9606.ENSP00000261448"
"9606.ENSP00000305725","9606.ENSP00000353007",359,"9606.ENSP00000305725"
"9606.ENSP00000353007","9606.ENSP00000363398",355,"9606.ENSP00000363398"
"9606.ENSP00000353007","9606.ENSP00000442756",355,"9606.ENSP00000442756"
"9606.ENSP00000332073","9606.ENSP00000353007",353,"9606.ENSP00000332073"
"9606.ENSP00000251968","9606.ENSP00000353007",352,"9606.ENSP00000251968"
"9606.ENSP00000353007","9606.ENSP00000369371",351,"9606.ENSP00000369371"
"9606.ENSP00000353007","9606.ENSP00000392782",351,"9606.ENSP00000392782"
"9606.ENSP00000353007","9606.ENSP00000482442",351,"9606.ENSP00000482442"
"9606.ENSP00000353007","9606.ENSP00000371835",349,"9606.ENSP00000371835"
"9606.ENSP00000353007","9606.ENSP00000498402",348,"9606.ENSP00000498402"
"9606.ENSP00000353007","9606.ENSP00000371790",345,"9606.ENSP00000371790"
"9606.ENSP00000286733","9606.ENSP00000353007",344,"9606.ENSP00000286733"
"9606.ENSP00000180166","9606.ENSP00000353007",342,"9606.ENSP00000180166"
"9606.ENSP00000353007","9606.ENSP00000399324",342,"9606.ENSP00000399324"
"9606.ENSP00000353007","9606.ENSP00000495247",342,"9606.ENSP00000495247"
"9606.ENSP00000264664","9606.ENSP00000353007",339,"9606.ENSP00000264664"
"9606.ENSP00000353007","9606.ENSP00000409107",339,"9606.ENSP00000409107"
"9606.ENSP00000215530","9606.ENSP00000353007",337,"9606.ENSP00000215530"
"9606.ENSP00000267843","9606.ENSP00000353007",337,"9606.ENSP00000267843"
"9606.ENSP00000353007","9606.ENSP00000381949",337,"9606.ENSP00000381949"
"9606.ENSP00000306772","9606.ENSP00000353007",335,"9606.ENSP00000306772"
"9606.ENSP00000353007","9606.ENSP00000368678",335,"9606.ENSP00000368678"
"9606.ENSP00000227638","9606.ENSP00000353007",333,"9606.ENSP00000227638"
"9606.ENSP00000353007","9606.ENSP00000358407",325,"9606.ENSP00000358407"
"9606.ENSP00000264020","9606.ENSP00000353007",324,"9606.ENSP00000264020"
"9606.ENSP00000319851","9606.ENSP00000353007",324,"9606.ENSP00000319851"
"9606.ENSP00000353007","9606.ENSP00000370546",324,"9606.ENSP00000370546"
"9606.ENSP00000168712","9606.ENSP00000353007",321,"9606.ENSP00000168712"
"9606.ENSP00000274625","9606.ENSP00000353007",321,"9606.ENSP00000274625"
"9606.ENSP00000297591","9606.ENSP00000353007",321,"9606.ENSP00000297591"
"9606.ENSP00000302413","9606.ENSP00000353007",321,"9606.ENSP00000302413"
"9606.ENSP00000352414","9606.ENSP00000353007",321,"9606.ENSP00000352414"
"9606.ENSP00000353007","9606.ENSP00000489262",321,"9606.ENSP00000489262"
"9606.ENSP00000339813","9606.ENSP00000353007",320,"9606.ENSP00000339813"
"9606.ENSP00000216500","9606.ENSP00000353007",318,"9606.ENSP00000216500"
"9606.ENSP00000353007","9606.ENSP00000409007",318,"9606.ENSP00000409007"
"9606.ENSP00000228837","9606.ENSP00000353007",317,"9606.ENSP00000228837"
"9606.ENSP00000353007","9606.ENSP00000356280",317,"9606.ENSP00000356280"
"9606.ENSP00000262320","9606.ENSP00000353007",316,"9606.ENSP00000262320"
"9606.ENSP00000307911","9606.ENSP00000353007",316,"9606.ENSP00000307911"
"9606.ENSP00000353007","9606.ENSP00000480791",315,"9606.ENSP00000480791"
"9606.ENSP00000225929","9606.ENSP00000353007",313,"9606.ENSP00000225929"
"9606.ENSP00000327975","9606.ENSP00000353007",313,"9606.ENSP00000327975"
"9606.ENSP00000334122","9606.ENSP00000353007",313,"9606.ENSP00000334122"
"9606.ENSP00000353007","9606.ENSP00000378887",313,"9606.ENSP00000378887"
"9606.ENSP00000353007","9606.ENSP00000482704",313,"9606.ENSP00000482704"
"9606.ENSP00000353007","9606.ENSP00000498711",313,"9606.ENSP00000498711"
"9606.ENSP00000311697","9606.ENSP00000353007",311,"9606.ENSP00000311697"
"9606.ENSP00000321797","9606.ENSP00000353007",311,"9606.ENSP00000321797"
"9606.ENSP00000353007","9606.ENSP00000386653",311,"9606.ENSP00000386653"
"9606.ENSP00000353007","9606.ENSP00000387250",311,"9606.ENSP00000387250"
"9606.ENSP00000333947","9606.ENSP00000353007",310,"9606.ENSP00000333947"
"9606.ENSP00000353007","9606.ENSP00000477344",309,"9606.ENSP00000477344"
"9606.ENSP00000272645","9606.ENSP00000353007",307,"9606.ENSP00000272645"
"9606.ENSP00000332353","9606.ENSP00000353007",306,"9606.ENSP00000332353"
"9606.ENSP00000353007","9606.ENSP00000411816",304,"9606.ENSP00000411816"
"9606.ENSP00000242465","9606.ENSP00000353007",303,"9606.ENSP00000242465"
"9606.ENSP00000265077","9606.ENSP00000353007",303,"9606.ENSP00000265077"
"9606.ENSP00000353007","9606.ENSP00000366093",302,"9606.ENSP00000366093"
"9606.ENSP00000353007","9606.ENSP00000367890",301,"9606.ENSP00000367890"
"9606.ENSP00000265322","9606.ENSP00000353007",300,"9606.ENSP00000265322"
"9606.ENSP00000353007","9606.ENSP00000376224",299,"9606.ENSP00000376224"
"9606.ENSP00000353007","9606.ENSP00000495360",297,"9606.ENSP00000495360"
"9606.ENSP00000297261","9606.ENSP00000353007",294,"9606.ENSP00000297261"
"9606.ENSP00000280527","9606.ENSP00000353007",293,"9606.ENSP00000280527"
"9606.ENSP00000353007","9606.ENSP00000472308",293,"9606.ENSP00000472308"
"9606.ENSP00000353007","9606.ENSP00000363616",292,"9606.ENSP00000363616"
"9606.ENSP00000353007","9606.ENSP00000402297",292,"9606.ENSP00000402297"
"9606.ENSP00000261381","9606.ENSP00000353007",290,"9606.ENSP00000261381"
"9606.ENSP00000296522","9606.ENSP00000353007",289,"9606.ENSP00000296522"
"9606.ENSP00000303129","9606.ENSP00000353007",289,"9606.ENSP00000303129"
"9606.ENSP00000257694","9606.ENSP00000353007",286,"9606.ENSP00000257694"
"9606.ENSP00000344674","9606.ENSP00000353007",285,"9606.ENSP00000344674"
"9606.ENSP00000353007","9606.ENSP00000433112",285,"9606.ENSP00000433112"
"9606.ENSP00000300692","9606.ENSP00000353007",284,"9606.ENSP00000300692"
"9606.ENSP00000340823","9606.ENSP00000353007",282,"9606.ENSP00000340823"
"9606.ENSP00000254190","9606.ENSP00000353007",281,"9606.ENSP00000254190"
"9606.ENSP00000339801","9606.ENSP00000353007",281,"9606.ENSP00000339801"
"9606.ENSP00000212355","9606.ENSP00000353007",280,"9606.ENSP00000212355"
"9606.ENSP00000240285","9606.ENSP00000353007",280,"9606.ENSP00000240285"
"9606.ENSP00000283268","9606.ENSP00000353007",280,"9606.ENSP00000283268"
