"from","to","combined_score","target"
"9606.ENSP00000248846","9606.ENSP00000446093",999,"9606.ENSP00000248846"
"9606.ENSP00000251413","9606.ENSP00000446093",999,"9606.ENSP00000251413"
"9606.ENSP00000260383","9606.ENSP00000446093",999,"9606.ENSP00000260383"
"9606.ENSP00000261965","9606.ENSP00000446093",999,"9606.ENSP00000261965"
"9606.ENSP00000446093","9606.ENSP00000480316",999,"9606.ENSP00000480316"
"9606.ENSP00000367049","9606.ENSP00000446093",998,"9606.ENSP00000367049"
"9606.ENSP00000251412","9606.ENSP00000446093",997,"9606.ENSP00000251412"
"9606.ENSP00000311500","9606.ENSP00000446093",990,"9606.ENSP00000311500"
"9606.ENSP00000386419","9606.ENSP00000446093",976,"9606.ENSP00000386419"
"9606.ENSP00000343818","9606.ENSP00000446093",975,"9606.ENSP00000343818"
"9606.ENSP00000446093","9606.ENSP00000451211",884,"9606.ENSP00000451211"
"9606.ENSP00000320797","9606.ENSP00000446093",872,"9606.ENSP00000320797"
"9606.ENSP00000446093","9606.ENSP00000494750",855,"9606.ENSP00000494750"
"9606.ENSP00000446093","9606.ENSP00000458162",840,"9606.ENSP00000458162"
"9606.ENSP00000356785","9606.ENSP00000446093",822,"9606.ENSP00000356785"
"9606.ENSP00000352572","9606.ENSP00000446093",807,"9606.ENSP00000352572"
"9606.ENSP00000288221","9606.ENSP00000446093",796,"9606.ENSP00000288221"
"9606.ENSP00000254950","9606.ENSP00000446093",773,"9606.ENSP00000254950"
"9606.ENSP00000432768","9606.ENSP00000446093",703,"9606.ENSP00000432768"
"9606.ENSP00000371308","9606.ENSP00000446093",655,"9606.ENSP00000371308"
"9606.ENSP00000348573","9606.ENSP00000446093",645,"9606.ENSP00000348573"
"9606.ENSP00000360688","9606.ENSP00000446093",644,"9606.ENSP00000360688"
"9606.ENSP00000262776","9606.ENSP00000446093",628,"9606.ENSP00000262776"
"9606.ENSP00000358374","9606.ENSP00000446093",627,"9606.ENSP00000358374"
"9606.ENSP00000355499","9606.ENSP00000446093",617,"9606.ENSP00000355499"
"9606.ENSP00000359398","9606.ENSP00000446093",571,"9606.ENSP00000359398"
"9606.ENSP00000368982","9606.ENSP00000446093",569,"9606.ENSP00000368982"
"9606.ENSP00000418960","9606.ENSP00000446093",569,"9606.ENSP00000418960"
"9606.ENSP00000400057","9606.ENSP00000446093",562,"9606.ENSP00000400057"
"9606.ENSP00000262891","9606.ENSP00000446093",559,"9606.ENSP00000262891"
"9606.ENSP00000383145","9606.ENSP00000446093",544,"9606.ENSP00000383145"
"9606.ENSP00000353735","9606.ENSP00000446093",540,"9606.ENSP00000353735"
"9606.ENSP00000402038","9606.ENSP00000446093",523,"9606.ENSP00000402038"
"9606.ENSP00000270708","9606.ENSP00000446093",513,"9606.ENSP00000270708"
"9606.ENSP00000428259","9606.ENSP00000446093",504,"9606.ENSP00000428259"
"9606.ENSP00000356211","9606.ENSP00000446093",489,"9606.ENSP00000356211"
"9606.ENSP00000397968","9606.ENSP00000446093",483,"9606.ENSP00000397968"
"9606.ENSP00000446093","9606.ENSP00000478352",472,"9606.ENSP00000478352"
"9606.ENSP00000336799","9606.ENSP00000446093",468,"9606.ENSP00000336799"
"9606.ENSP00000446093","9606.ENSP00000467024",466,"9606.ENSP00000467024"
"9606.ENSP00000346335","9606.ENSP00000446093",464,"9606.ENSP00000346335"
"9606.ENSP00000292616","9606.ENSP00000446093",451,"9606.ENSP00000292616"
"9606.ENSP00000412302","9606.ENSP00000446093",447,"9606.ENSP00000412302"
"9606.ENSP00000260731","9606.ENSP00000446093",446,"9606.ENSP00000260731"
"9606.ENSP00000262113","9606.ENSP00000446093",443,"9606.ENSP00000262113"
"9606.ENSP00000446093","9606.ENSP00000497669",443,"9606.ENSP00000497669"
"9606.ENSP00000426421","9606.ENSP00000446093",442,"9606.ENSP00000426421"
"9606.ENSP00000420195","9606.ENSP00000446093",439,"9606.ENSP00000420195"
"9606.ENSP00000362962","9606.ENSP00000446093",436,"9606.ENSP00000362962"
"9606.ENSP00000224337","9606.ENSP00000446093",435,"9606.ENSP00000224337"
"9606.ENSP00000364801","9606.ENSP00000446093",433,"9606.ENSP00000364801"
"9606.ENSP00000320117","9606.ENSP00000446093",429,"9606.ENSP00000320117"
