"","STRING_id","alias"
"2","9606.ENSP00000000412","M6PR"
"7","9606.ENSP00000002596","HS3ST1"
"9","9606.ENSP00000003084","CFTR"
"12","9606.ENSP00000004531","SLC7A2"
"14","9606.ENSP00000005178","PDK4"
"20","9606.ENSP00000005340","DVL2"
"25","9606.ENSP00000006053","CX3CL1"
"28","9606.ENSP00000006658","SPATA20"
"29","9606.ENSP00000006724","CEACAM7"
"36","9606.ENSP00000008527","CRY1"
"37","9606.ENSP00000008938","PGLYRP1"
"38","9606.ENSP00000009041","STARD3NL"
"40","9606.ENSP00000009530","CD74"
"43","9606.ENSP00000011473","SYPL1"
"45","9606.ENSP00000011653","CD4"
"58","9606.ENSP00000017003","XYLT2"
"60","9606.ENSP00000020926","SYT13"
"61","9606.ENSP00000020945","SNAI2"
"63","9606.ENSP00000023939","RTF2"
"67","9606.ENSP00000027335","CDH17"
"68","9606.ENSP00000029410","B4GALT7"
"71","9606.ENSP00000037243","GABARAPL2"
"73","9606.ENSP00000039007","OTC"
"77","9606.ENSP00000040738","BOD1L1"
"80","9606.ENSP00000044462","PSMA4"
"83","9606.ENSP00000046794","LCP2"
"84","9606.ENSP00000052754","DCN"
"85","9606.ENSP00000053243","TNFRSF17"
"87","9606.ENSP00000053469","GUCA1A"
"88","9606.ENSP00000053867","GRN"
"90","9606.ENSP00000054666","VAMP3"
"97","9606.ENSP00000056233","NFE2L3"
"107","9606.ENSP00000075120","SLC2A3"
"111","9606.ENSP00000080059","HDAC7"
"116","9606.ENSP00000085219","CD22"
"129","9606.ENSP00000158762","ACAP1"
"130","9606.ENSP00000158771","DERL2"
"131","9606.ENSP00000159060","NOX3"
"134","9606.ENSP00000160262","ICAM3"
"135","9606.ENSP00000160373","CTTNBP2"
"137","9606.ENSP00000160827","KIF22"
"139","9606.ENSP00000161559","CEACAM1"
"143","9606.ENSP00000162749","TNFRSF1A"
"144","9606.ENSP00000163416","GOLGA5"
"146","9606.ENSP00000164133","PPP2R5B"
"147","9606.ENSP00000164139","PYGM"
"148","9606.ENSP00000164227","BCL3"
"151","9606.ENSP00000166139","FSTL3"
"152","9606.ENSP00000166244","EPHA8"
"155","9606.ENSP00000167586","KRT14"
"159","9606.ENSP00000168712","FGF4"
"167","9606.ENSP00000171887","TNS1"
"168","9606.ENSP00000172229","NGFR"
"179","9606.ENSP00000177694","TBX21"
"180","9606.ENSP00000177742","MRPS34"
"183","9606.ENSP00000179259","TIGAR"
"184","9606.ENSP00000180166","FGF20"
"187","9606.ENSP00000181796","FAM107B"
"193","9606.ENSP00000184956","HEATR6"
"199","9606.ENSP00000188790","FAP"
"200","9606.ENSP00000190165","DMRT3"
"205","9606.ENSP00000194130","SLC13A1"
"210","9606.ENSP00000196061","PLOD1"
"215","9606.ENSP00000198767","RRN3"
"216","9606.ENSP00000198801","MOGAT2"
"217","9606.ENSP00000199280","AQP2"
"218","9606.ENSP00000199320","DIMT1"
"220","9606.ENSP00000199447","NME8"
"226","9606.ENSP00000200135","ZW10"
"227","9606.ENSP00000200181","ITGB4"
"228","9606.ENSP00000200453","PPP1R15A"
"231","9606.ENSP00000200652","SLC22A4"
"233","9606.ENSP00000200691","MT3"
"234","9606.ENSP00000201031","TFAP2C"
"237","9606.ENSP00000201979","REM1"
"241","9606.ENSP00000202677","RALGAPA2"
"242","9606.ENSP00000202816","ESF1"
"243","9606.ENSP00000202967","SIRT4"
"245","9606.ENSP00000203407","UQCRC1"
"247","9606.ENSP00000203629","LAG3"
"253","9606.ENSP00000204604","CHRD"
"255","9606.ENSP00000204726","GOLGA3"
"258","9606.ENSP00000205143","DLL3"
"260","9606.ENSP00000205214","AASDH"
"261","9606.ENSP00000205402","DLD"
"262","9606.ENSP00000205557","ABCC6"
"263","9606.ENSP00000205636","CMTM6"
"266","9606.ENSP00000206262","RGS17"
"267","9606.ENSP00000206423","CCDC80"
"269","9606.ENSP00000206513","CEBPE"
"271","9606.ENSP00000206595","G2E3"
"272","9606.ENSP00000206765","TGM1"
"274","9606.ENSP00000207549","UNC13D"
"275","9606.ENSP00000207870","XYLB"
"278","9606.ENSP00000209728","CDC6"
"280","9606.ENSP00000209875","CBX5"
"282","9606.ENSP00000209929","FMO2"
"288","9606.ENSP00000211076","TPSD1"
"289","9606.ENSP00000211122","GSTA3"
"290","9606.ENSP00000211287","MAPK13"
"294","9606.ENSP00000211998","VCL"
"295","9606.ENSP00000212015","SIRT1"
"296","9606.ENSP00000212355","TGFBR3"
"297","9606.ENSP00000214869","TMED1"
"298","9606.ENSP00000215057","MZF1"
"301","9606.ENSP00000215095","STX1B"
"303","9606.ENSP00000215375","ATP5F1D"
"304","9606.ENSP00000215530","FGF22"
"311","9606.ENSP00000215631","GADD45B"
"312","9606.ENSP00000215637","MADCAM1"
"313","9606.ENSP00000215659","MAPK12"
"317","9606.ENSP00000215743","MMP11"
"318","9606.ENSP00000215754","MIF"
"320","9606.ENSP00000215781","OSM"
"322","9606.ENSP00000215794","USP18"
"325","9606.ENSP00000215832","MAPK1"
"329","9606.ENSP00000215885","PLA2G3"
"333","9606.ENSP00000215909","LGALS1"
"336","9606.ENSP00000215941","ANKRD54"
"337","9606.ENSP00000215957","MICALL1"
"340","9606.ENSP00000216027","HSCB"
"343","9606.ENSP00000216037","XBP1"
"344","9606.ENSP00000216038","RTCB"
"346","9606.ENSP00000216044","GTPBP1"
"354","9606.ENSP00000216115","BIK"
"355","9606.ENSP00000216117","HMOX1"
"357","9606.ENSP00000216122","MCM5"
"358","9606.ENSP00000216124","ARSA"
"363","9606.ENSP00000216144","CABP7"
"364","9606.ENSP00000216160","TAB1"
"367","9606.ENSP00000216181","MYH9"
"368","9606.ENSP00000216185","TXN2"
"369","9606.ENSP00000216190","EIF3D"
"370","9606.ENSP00000216200","PVALB"
"374","9606.ENSP00000216223","IL2RB"
"375","9606.ENSP00000216225","RBX1"
"378","9606.ENSP00000216252","PHF5A"
"379","9606.ENSP00000216254","ACO2"
"383","9606.ENSP00000216271","HDAC10"
"384","9606.ENSP00000216274","RIPK3"
"386","9606.ENSP00000216286","NID2"
"388","9606.ENSP00000216297","SUPT16H"
"390","9606.ENSP00000216336","CTSG"
"391","9606.ENSP00000216338","GZMH"
"392","9606.ENSP00000216341","GZMB"
"396","9606.ENSP00000216373","SOS2"
"397","9606.ENSP00000216392","PYGL"
"398","9606.ENSP00000216410","GNPNAT1"
"401","9606.ENSP00000216442","ATP6V1D"
"402","9606.ENSP00000216446","PLEK2"
"404","9606.ENSP00000216455","PSMA3"
"407","9606.ENSP00000216479","AHSA1"
"412","9606.ENSP00000216500","DHRS7"
"414","9606.ENSP00000216540","SLC10A1"
"419","9606.ENSP00000216714","APEX1"
"423","9606.ENSP00000216780","PCK2"
"424","9606.ENSP00000216797","NFKBIA"
"425","9606.ENSP00000216802","PSME2"
"426","9606.ENSP00000216807","BRMS1L"
"428","9606.ENSP00000216862","CYP24A1"
"429","9606.ENSP00000216911","AURKA"
"431","9606.ENSP00000216962","PYGB"
"433","9606.ENSP00000217026","MYBL2"
"435","9606.ENSP00000217086","SALL4"
"438","9606.ENSP00000217131","CTSZ"
"439","9606.ENSP00000217133","TUBB1"
"440","9606.ENSP00000217159","SLCO4A1"
"441","9606.ENSP00000217169","BIRC7"
"444","9606.ENSP00000217188","SRMS"
"446","9606.ENSP00000217244","CSNK2A1"
"455","9606.ENSP00000217402","CHMP4B"
"457","9606.ENSP00000217420","SLC32A1"
"465","9606.ENSP00000217740","RNF125"
"466","9606.ENSP00000217901","IDH3G"
"468","9606.ENSP00000217939","MXRA5"
"469","9606.ENSP00000217958","PSMD10"
"470","9606.ENSP00000217961","STS"
"486","9606.ENSP00000218348","USP11"
"487","9606.ENSP00000218388","TIMP1"
"490","9606.ENSP00000218548","ATP12A"
"492","9606.ENSP00000218758","ACP5"
"493","9606.ENSP00000218867","SGCG"
"494","9606.ENSP00000219022","OLFM4"
"496","9606.ENSP00000219069","ZNF263"
"497","9606.ENSP00000219070","MMP2"
"500","9606.ENSP00000219150","CORO1A"
"504","9606.ENSP00000219204","ARL2BP"
"506","9606.ENSP00000219235","CCL22"
"508","9606.ENSP00000219244","CCL17"
"509","9606.ENSP00000219252","POLR2C"
"511","9606.ENSP00000219271","MMP15"
"515","9606.ENSP00000219302","NME3"
"526","9606.ENSP00000219476","TSC2"
"528","9606.ENSP00000219479","NME4"
"529","9606.ENSP00000219481","DECR2"
"530","9606.ENSP00000219548","STUB1"
"532","9606.ENSP00000219596","MEFV"
"535","9606.ENSP00000219660","AQP8"
"538","9606.ENSP00000219782","MAZ"
"539","9606.ENSP00000219789","CDIPT"
"542","9606.ENSP00000219905","MGA"
"543","9606.ENSP00000219919","AQP9"
"544","9606.ENSP00000220003","CSK"
"547","9606.ENSP00000220166","CTSH"
"548","9606.ENSP00000220325","EHD4"
"554","9606.ENSP00000220509","VPS18"
"556","9606.ENSP00000220562","EXTL3"
"557","9606.ENSP00000220592","AGO2"
"558","9606.ENSP00000220597","PAG1"
"559","9606.ENSP00000220616","TG"
"563","9606.ENSP00000220751","RIPK2"
"565","9606.ENSP00000220764","DECR1"
"566","9606.ENSP00000220772","SFRP1"
"567","9606.ENSP00000220809","PLAT"
"577","9606.ENSP00000221130","GSR"
"578","9606.ENSP00000221132","TNFRSF10A"
"590","9606.ENSP00000221419","HNRNPL"
"592","9606.ENSP00000221452","RELB"
"599","9606.ENSP00000221486","RNASEH2A"
"600","9606.ENSP00000221494","SF3A2"
"603","9606.ENSP00000221515","RETN"
"605","9606.ENSP00000221543","TBC1D17"
"606","9606.ENSP00000221561","TLE5"
"612","9606.ENSP00000221730","EPHX3"
"613","9606.ENSP00000221742","SLC1A6"
"617","9606.ENSP00000221847","EBI3"
"619","9606.ENSP00000221856","FSD1"
"623","9606.ENSP00000221930","TGFB1"
"624","9606.ENSP00000221954","CEACAM4"
"625","9606.ENSP00000221957","PLIN3"
"626","9606.ENSP00000221972","CD79A"
"628","9606.ENSP00000221978","NKG7"
"630","9606.ENSP00000221992","CEACAM5"
"633","9606.ENSP00000222005","CDC37"
"637","9606.ENSP00000222115","HAS1"
"639","9606.ENSP00000222122","DBP"
"640","9606.ENSP00000222139","EPOR"
"641","9606.ENSP00000222145","RASIP1"
"642","9606.ENSP00000222219","DNASE2"
"645","9606.ENSP00000222248","SLC5A5"
"647","9606.ENSP00000222254","PIK3R2"
"651","9606.ENSP00000222286","GAPDHS"
"652","9606.ENSP00000222305","USF2"
"654","9606.ENSP00000222330","GSK3A"
"655","9606.ENSP00000222339","ZNF574"
"658","9606.ENSP00000222381","PON1"
"660","9606.ENSP00000222388","ABCF2"
"661","9606.ENSP00000222390","HGF"
"662","9606.ENSP00000222399","LAMB1"
"670","9606.ENSP00000222553","NAMPT"
"672","9606.ENSP00000222573","ITGB8"
"677","9606.ENSP00000222693","CAV2"
"685","9606.ENSP00000222803","FKBP14"
"686","9606.ENSP00000222812","STX1A"
"687","9606.ENSP00000222823","NOD1"
"689","9606.ENSP00000222982","CYP3A5"
"690","9606.ENSP00000222990","SNX8"
"691","9606.ENSP00000223023","WASL"
"692","9606.ENSP00000223026","HYAL4"
"694","9606.ENSP00000223061","PCOLCE"
"696","9606.ENSP00000223095","SERPINE1"
"698","9606.ENSP00000223127","PLOD3"
"702","9606.ENSP00000223167","MYL10"
"708","9606.ENSP00000223321","PSMA2"
"711","9606.ENSP00000223364","MYL7"
"712","9606.ENSP00000223366","GCK"
"713","9606.ENSP00000223369","YKT6"
"716","9606.ENSP00000223500","CHMP5"
"720","9606.ENSP00000223795","TNFSF8"
"726","9606.ENSP00000224337","BLNK"
