taxon_ID,Species_Name
23,Shewanella colwelliana
48,Archangium gephyra
52,Chondromyces crocatus
54,Nannocystis exedens
69,Lysobacter enzymogenes
140,Borrelia hermsii
162,Treponema phagedenis
163,Treponema bryantii
183,Leptonema illini
192,Azospirillum brasilense
195,Campylobacter coli
202,Campylobacter mucosalis
211,Helicobacter sp. CLO-3
216,Helicobacter muridarum
238,Elizabethkingia meningoseptica
244,Planomicrobium okeanokoites
246,Chryseobacterium balustinum
253,Chryseobacterium indologenes
254,Chryseobacterium indoltheticum
256,Myroides odoratus
276,Thermus filiformis
292,Burkholderia cepacia
293,Brevundimonas diminuta
294,Pseudomonas fluorescens
296,Pseudomonas fragi
301,Pseudomonas oleovorans
359,Agrobacterium rhizogenes
375,Bradyrhizobium japonicum
376,Bradyrhizobium sp.
381,Mesorhizobium loti
382,Sinorhizobium meliloti
394,Sinorhizobium fredii NGR234
396,Rhizobium phaseoli
435,Acetobacter aceti
447,Fluoribacter bozemanae
448,Legionella erythra
449,Legionella hackeliae
451,Tatlockia micdadei
452,Legionella spiritensis
453,Legionella feeleii
454,Legionella israelensis
455,Legionella jamestowniensis
456,Legionella jordanis
458,Legionella rubrilucens
460,Legionella steigerwaltii
464,Fluoribacter gormanii
466,Legionella maceachernii
471,Acinetobacter calcoaceticus
476,Moraxella bovis
477,Moraxella lacunata
478,Moraxella nonliquefaciens
484,Neisseria flavescens
486,Neisseria lactamica
490,Neisseria sicca
493,Neisseria canis
504,Kingella kingae
511,Alcaligenes faecalis
526,Acidiphilium rubrum
539,Eikenella corrodens
548,Klebsiella aerogenes
549,Pantoea agglomerans
569,Hafnia alvei
571,Klebsiella oxytoca
580,Kluyvera cryocrescens
582,Morganella morganii
584,Proteus mirabilis
585,Proteus vulgaris
587,Providencia rettgeri
588,Providencia stuartii
614,Serratia liquefaciens
631,Yersinia intermedia
636,Edwardsiella tarda
646,Aeromonas sobria
649,Aeromonas eucrenophila
650,Aeromonas jandaei
652,Aeromonas schubertii
654,Aeromonas veronii
659,Photobacterium phosphoreum
663,Vibrio alginolyticus
669,Vibrio harveyi
670,Vibrio parahaemolyticus
672,Vibrio vulnificus
673,Grimontia hollisae
674,Vibrio mimicus
676,Vibrio fluvialis
688,Aliivibrio logei
689,Vibrio mediterranei
691,Vibrio natriegens
693,Vibrio nereis
703,Plesiomonas shigelloides
714,Aggregatibacter actinomycetemcomitans
728,Avibacterium paragallinarum
732,Aggregatibacter aphrophilus
733,Haemophilus haemoglobinophilus
734,Haemophilus paracuniculus
735,Haemophilus parahaemolyticus
736,Haemophilus paraphrohaemolyticus
739,Aggregatibacter segnis
758,Rodentibacter pneumotropicus
779,Ehrlichia ruminantium
807,Bartonella elizabethae
820,Bacteroides uniformis
824,Campylobacter gracilis
847,Oxalobacter formigenes
859,Fusobacterium necrophorum
867,Ruminobacter amylophilus
882,Desulfovibrio vulgaris str. Hildenborough
883,Desulfovibrio vulgaris str. 'Miyazaki F'
897,Desulfococcus multivorans
901,Desulfovibrio piger
917,Nitrosomonas marina
930,Acidithiobacillus thiooxidans
955,Wolbachia pipientis
966,Oceanospirillum linum
971,Selenomonas ruminantium
983,Flavobacterium flevense
991,Flavobacterium hydatis
1003,Thermoflexibacter ruber
1004,Chitinophaga sancti
1010,Sphingobacterium mizutaii
1028,Marivirga sericea
1035,Afipia felis
1044,Erythrobacter longus
1058,Thiocapsa roseopersicina
1079,Blastochloris viridis
1112,Porphyrobacter neustonensis
1140,Synechococcus elongatus PCC 7942
1147,Synechocystis sp. PCC 6714
1148,Synechocystis sp. PCC 6803
1188,Tolypothrix sp. PCC 7601
1233,Nitrosovibrio tenuis
1238,Piscirickettsia salmonis
1245,Leuconostoc mesenteroides
1246,Leuconostoc lactis
1254,Pediococcus acidilactici
1261,Peptostreptococcus anaerobius
1265,Ruminococcus flavefaciens
1267,Clostridium ventriculi
1272,Kocuria varians
1274,Dermacoccus nishinomiyaensis
1281,Staphylococcus carnosus
1283,Staphylococcus haemolyticus
1284,Staphylococcus hyicus
1286,Staphylococcus simulans
1288,Staphylococcus xylosus
1293,Staphylococcus gallinarum
1295,Staphylococcus schleiferi
1296,Staphylococcus sciuri
1303,Streptococcus oralis
1304,Streptococcus salivarius
1314,Streptococcus pyogenes
1326,Streptococcus acidominimus
1335,Streptococcus equinus
1338,Streptococcus intermedius
1346,Streptococcus iniae
1352,Enterococcus faecium
1353,Enterococcus gallinarum
1354,Enterococcus hirae
1364,Lactococcus piscium
1371,Marinococcus halophilus
1374,Planococcus kocurii
1377,Aerococcus viridans
1379,Gemella haemolysans
1381,Atopobium minutum
1383,Atopobium rimae
1397,Bacillus circulans
1398,Bacillus coagulans
1399,Bacillus firmus
1401,Paenibacillus lautus
1405,Bacillus mycoides
1406,Paenibacillus polymyxa
1421,Lysinibacillus sphaericus
1426,Parageobacillus thermoglucosidasius
1452,Bacillus atrophaeus
1455,Bacillus badius
1459,Sporosarcina globispora
1472,Paenibacillus pabuli
1476,Sporosarcina psychrophila
1478,Bacillus simplex
1479,Bacillus smithii
1482,Virgibacillus halodenitrificans
1484,Hydrogenibacillus schlegelii
1490,Paraclostridium bifermentans
1492,Clostridium butyricum
1494,Clostridium cochlearium
1497,Clostridium formicaceticum
1503,Gottschalkia purinilytica
1504,Clostridium septicum
1505,Paeniclostridium sordellii
1511,Acetoanaerobium sticklandii
1512,[Clostridium] symbiosum
1519,Clostridium tyrobutyricum
1520,Clostridium beijerinckii
1526,[Clostridium] aminophilum
1527,Anaerocolumna aminovalerica
1528,Eubacterium barkeri
1529,Clostridium cadaveris
1533,Clostridium fallax
1548,Clostridium scatologenes
1552,Clostridium estertheticum subsp. estertheticum
1561,Clostridium baratii
1571,Sporosarcina ureae
1582,Lactobacillus casei
1583,Weissella confusa
1587,Lactobacillus helveticus
1589,Lactobacillus pentosus
1600,Lactobacillus acetotolerans
1601,Lactobacillus agilis
1604,Lactobacillus amylovorus
1612,Lactobacillus farciminis
1613,Lactobacillus fermentum
1614,Lactobacillus fructivorans
1616,Weissella kandleri
1618,Lactobacillus mali
1620,Weissella minor
1622,Lactobacillus murinus
1629,Weissella viridescens
1630,Kandleria vitulina
1631,Fructobacillus fructosus
1648,Erysipelothrix rhusiopathiae
1655,Actinomyces naeslundii
1657,Actinobaculum suis
1660,Schaalia odontolytica
1661,Trueperella pyogenes
1681,Bifidobacterium bifidum
1683,Bifidobacterium angulatum
1685,Bifidobacterium breve
1687,Bifidobacterium coryneforme
1688,Bifidobacterium cuniculi
1692,Bifidobacterium magnum
1693,Bifidobacterium minimum
1697,Corynebacterium ammoniagenes
1703,Brevibacterium linens
1705,Corynebacterium stationis
1713,Oerskovia turbata
1724,Corynebacterium renale
1725,Corynebacterium xerosis
1732,Eubacterium oxidoreducens
1736,Eubacterium limosum
1747,Cutibacterium acnes
1765,Mycobacterium tuberculosis variant bovis
1766,Mycolicibacterium fortuitum
1768,Mycobacterium kansasii
1771,Mycolicibacterium phlei
1774,Mycobacteroides chelonae
1776,Mycolicibacterium flavescens
1777,Mycobacterium gastri
1778,Mycobacterium gordonae
1780,Mycobacterium malmoense
1782,Mycolicibacter nonchromogenicus
1783,Mycobacterium scrofulaceum
1784,Mycobacterium simiae
1787,Mycobacterium szulgai
1788,Mycolicibacter terrae
1789,Mycobacterium xenopi
1790,Mycobacterium asiaticum
1791,Mycolicibacterium aurum
1793,Mycolicibacterium fallax
1795,Mycolicibacterium neoaurum
1796,Mycolicibacterium senegalense
1797,Mycolicibacterium thermoresistibile
1798,Mycolicibacillus trivialis
1801,Mycolicibacterium diernhoferi
1806,Mycobacterium tuberculosis variant microti
1807,Mycolicibacterium obuense
1824,Nocardia asteroides
1829,Rhodococcus rhodochrous
1833,Rhodococcus erythropolis
1844,Nocardioides luteus
1848,Pseudonocardia thermophila
1869,Actinoplanes utahensis
1888,Streptomyces albus
1889,Streptomyces ambofaciens
1890,Streptomyces antibioticus
1893,Streptomyces atratus
1894,Kitasatospora aureofaciens
1896,Streptomyces bikiniensis
1901,Streptomyces clavuligerus
1905,Streptomyces exfoliatus
1906,Streptomyces fradiae
1907,Streptomyces glaucescens
1911,Streptomyces griseus
1915,Streptomyces lincolnensis
1935,Streptomyces violaceoruber
1943,Streptomyces griseoruber
1957,Streptomyces sclerotialus
1963,Streptomyces olivochromogenes
1968,Streptomyces cellulosae
1993,Actinomadura madurae
1996,Microtetraspora glauca
2002,Streptosporangium amethystogenes
2017,Streptoalloteichus hindustanus
2035,Curtobacterium flaccumfaciens
2036,Curtobacterium citreum
2041,Aeromicrobium erythreum
2045,Pimelobacter simplex
2055,Gordonia terrae
2064,Kitasatospora griseola
2074,Pseudonocardia autotrophica
2094,Mycoplasma arginini
2100,Mycoplasma hyorhinis
2113,Mycoplasma californicum
2133,Spiroplasma citri
2138,Spiroplasma poulsonii
2162,Methanobacterium formicicum
2177,Methanohalophilus halophilus
2200,Methanoculleus thermophilus
2309,Pyrodictium occultum
2325,Thermoanaerobacter kivui
2340,Solemya velum gill symbiont
2342,Candidatus Sodalis pierantonius str. SOPE
2423,Fervidobacterium islandicum
2702,Gardnerella vaginalis
2711,Citrus sinensis
2718,Cardiobacterium hominis
2741,Peptococcus niger
2748,Carnobacterium divergens
2754,Synergistes jonesii
2756,Brochothrix thermosphacta
2769,Chondrus crispus
2880,Ectocarpus siliculosus
2903,Emiliania huxleyi
3055,Chlamydomonas reinhardtii
3068,Volvox carteri f. nagariensis
3075,Auxenochlorella protothecoides
3076,Chlorella sorokiniana
3088,Tetradesmus obliquus
3218,Physcomitrella patens
3469,Papaver somniferum
3476,Parasponia andersonii
3562,Spinacia oleracea
3635,Gossypium hirsutum
3641,Theobroma cacao
3659,Cucumis sativus
3694,Populus trichocarpa
3702,Arabidopsis thaliana
3708,Brassica napus
3750,Malus domestica
3760,Prunus persica
3775,Cephalotus follicularis
3818,Arachis hypogaea
3821,Cajanus cajan
3827,Cicer arietinum
3847,Glycine max
3871,Lupinus angustifolius
3880,Medicago truncatula
3885,Phaseolus vulgaris
3914,Vigna angularis
3916,Vigna radiata var. radiata
3983,Manihot esculenta
3988,Ricinus communis
4072,Capsicum annuum
4081,Solanum lycopersicum
4096,Nicotiana sylvestris
4097,Nicotiana tabacum
4113,Solanum tuberosum
4155,Erythranthe guttata
4232,Helianthus annuus
4236,Lactuca sativa
4432,Nelumbo nucifera
4529,Oryza rufipogon
4533,Oryza brachyantha
4536,Oryza sativa f. spontanea
4537,Oryza punctata
4538,Oryza glaberrima
4540,Panicum miliaceum
4555,Setaria italica
4558,Sorghum bicolor
4565,Triticum aestivum
4572,Triticum urartu
4577,Zea mays
4615,Ananas comosus
4779,Bremia lactucae
4781,Plasmopara halstedii
4790,Phytophthora nicotianae
4795,Phytophthora megakarya
4829,Absidia glauca
4846,Rhizopus stolonifer
4909,Pichia kudriavzevii
4932,Saccharomyces cerevisiae
4955,Lachancea fermentati
4999,Kockovaella imperatae
5007,Brettanomyces bruxellensis
5078,Penicillium griseofulvum
5098,Monascus purpureus
